               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.021918,            0.017659,           0.0021458,             0.99081,             0.98946,             0.99183,             0.84854,           0.0099957,           0.0072492,          0.00033455,            0.003268,            0.003268,            0.003268
                  70,            0.021717,            0.018032,           0.0018576,             0.98573,             0.98916,             0.99121,             0.85166,            0.010081,           0.0072739,          0.00031426,            0.003169,            0.003169,            0.003169
                  71,             0.02129,            0.018492,           0.0017789,             0.98774,             0.98484,             0.99158,             0.85507,           0.0099351,           0.0071654,          0.00028751,             0.00307,             0.00307,             0.00307
                  72,            0.020537,            0.017705,           0.0015542,             0.99319,             0.97854,             0.99128,             0.86573,           0.0094284,           0.0071259,          0.00026193,            0.002971,            0.002971,            0.002971
                  73,             0.02074,            0.017702,           0.0011512,             0.99378,             0.97863,             0.99162,             0.86538,           0.0099389,           0.0071162,          0.00025081,            0.002872,            0.002872,            0.002872
                  74,            0.021378,            0.016717,           0.0015631,             0.98751,              0.9891,             0.99145,             0.86279,           0.0090349,           0.0069184,          0.00024497,            0.002773,            0.002773,            0.002773
                  75,            0.020667,            0.017863,           0.0013938,             0.99559,             0.99055,             0.99197,             0.87128,           0.0090304,           0.0069766,          0.00023436,            0.002674,            0.002674,            0.002674
                  76,             0.02021,            0.017686,           0.0018596,             0.99005,             0.99132,              0.9917,             0.87065,           0.0088102,           0.0068829,          0.00022911,            0.002575,            0.002575,            0.002575
                  77,              0.0198,            0.016714,           0.0012972,             0.99129,             0.98865,             0.99213,             0.87133,           0.0091843,           0.0066656,            0.000195,            0.002476,            0.002476,            0.002476
                  78,            0.019622,            0.016661,           0.0011653,             0.99562,             0.97939,             0.99155,             0.87031,           0.0091342,           0.0067977,           0.0001817,            0.002377,            0.002377,            0.002377
                  79,            0.019811,            0.016884,           0.0011964,             0.99362,             0.98619,             0.99216,             0.87527,            0.008783,           0.0066019,          0.00018745,            0.002278,            0.002278,            0.002278
                  80,            0.019736,             0.01635,           0.0012297,             0.98996,             0.98823,             0.99195,             0.87578,           0.0087757,           0.0066605,            0.000189,            0.002179,            0.002179,            0.002179
                  81,            0.019443,            0.016635,            0.001191,             0.99222,             0.98653,              0.9919,             0.88335,           0.0087575,           0.0065993,          0.00018961,             0.00208,             0.00208,             0.00208
                  82,            0.019046,            0.016578,           0.0010809,              0.9929,             0.98388,             0.99147,             0.87568,           0.0087896,           0.0066334,          0.00017832,            0.001981,            0.001981,            0.001981
                  83,            0.019386,             0.01622,           0.0013396,              0.9887,             0.98894,             0.99198,             0.87818,           0.0088908,           0.0066499,          0.00016841,            0.001882,            0.001882,            0.001882
                  84,            0.019479,            0.015998,           0.0011619,              0.9903,             0.99157,             0.99148,             0.88262,           0.0084385,           0.0064424,          0.00015017,            0.001783,            0.001783,            0.001783
                  85,            0.018369,            0.015941,           0.0011998,             0.99539,             0.98926,             0.99187,             0.88073,           0.0084537,           0.0064377,          0.00013631,            0.001684,            0.001684,            0.001684
                  86,            0.018273,             0.01634,              0.0012,             0.99421,             0.98991,             0.99217,             0.88546,           0.0082798,           0.0065476,           0.0001276,            0.001585,            0.001585,            0.001585
                  87,            0.018387,            0.015869,           0.0011373,             0.99586,             0.98525,             0.99187,             0.88709,           0.0081595,            0.006523,          0.00012357,            0.001486,            0.001486,            0.001486
                  88,            0.017819,            0.015876,           0.0009114,             0.99657,             0.98225,             0.98903,             0.88475,           0.0082905,           0.0066482,          0.00012217,            0.001387,            0.001387,            0.001387
                  89,            0.018197,            0.015818,           0.0010783,             0.99116,             0.98459,             0.99025,             0.88709,           0.0081836,           0.0066004,          0.00010885,            0.001288,            0.001288,            0.001288
                  90,            0.019108,             0.01595,           0.0012564,               0.994,              0.9889,             0.99217,             0.88206,           0.0084235,           0.0066188,          9.9647e-05,            0.001189,            0.001189,            0.001189
                  91,             0.01847,            0.016082,          0.00085864,             0.99477,             0.98612,             0.99187,             0.89152,            0.008061,           0.0063377,          9.1084e-05,             0.00109,             0.00109,             0.00109
                  92,            0.018106,               0.016,          0.00092072,             0.99529,              0.9891,             0.99209,             0.89189,           0.0079638,            0.006305,          8.9895e-05,            0.000991,            0.000991,            0.000991
                  93,            0.017687,            0.015657,          0.00075462,             0.99413,             0.98588,             0.99196,             0.89741,           0.0079945,           0.0062326,          8.5987e-05,            0.000892,            0.000892,            0.000892
                  94,            0.016876,            0.015686,          0.00084262,              0.9915,             0.98583,             0.99186,             0.89714,           0.0077786,           0.0062794,          7.8838e-05,            0.000793,            0.000793,            0.000793
                  95,            0.017497,            0.015322,           0.0010216,             0.99452,             0.98482,             0.99182,             0.89976,           0.0078046,           0.0062652,          7.3341e-05,            0.000694,            0.000694,            0.000694
                  96,            0.017157,            0.016085,            0.001217,              0.9931,             0.98696,              0.9922,             0.89916,           0.0078366,           0.0062367,          6.7105e-05,            0.000595,            0.000595,            0.000595
                  97,            0.016775,             0.01529,          0.00067915,             0.99417,             0.98672,             0.99197,             0.89692,           0.0078256,           0.0062087,          6.8167e-05,            0.000496,            0.000496,            0.000496
                  98,            0.017611,            0.015023,           0.0010111,             0.99557,             0.98606,             0.99208,             0.90178,           0.0077175,           0.0061467,          6.6765e-05,            0.000397,            0.000397,            0.000397
                  99,            0.016677,            0.015213,          0.00078297,             0.99404,             0.98625,             0.99222,             0.90335,            0.007682,           0.0061028,          6.2088e-05,            0.000298,            0.000298,            0.000298
